formula,bulk_modulus,shear_modulus,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Na2PtC2,51.56646465,24.20816753,Na2 Pt1 C2,6,78,72,22.4,22.240000000000002,6,2,77,75,44.2,33.760000000000005,2,12.0107,195.084,183.07330000000002,53.01698771,56.82680492,12.0107,370.87,3823,3452.13,2085.828,1389.7376,370.87,1,14,13,8,5.6,1,2,6,4,3.2,1.12,2,76,166,90,124,38.4,76,0.93,2.55,1.6199999999999997,1.8479999999999996,0.7343999999999999,0.93,1,2,1,1.4,0.48,1,0,2,2,0.8,0.9600000000000002,0,0,9,9,1.8,2.88,0,0,14,14,2.8,4.4799999999999995,0,1,24,23,6.8,6.88,1,0,1,1,0.6,0.4800000000000001,0,0,4,4,1.6,1.9200000000000004,0,0,1,1,0.2,0.32,0,0,0,0,0,0,0,1,4,3,2.4,1.28,1,5.64,29.24333333,23.60333333,16.95733333,9.8288,5.64,0,4.496,4.496,1.7984000000000002,2.1580800000000004,0,0,0,0,0,0,0,194,229,35,214.2,16.160000000000004,194
K2TiF6,26.75536435,10.90605839,K2 Ti1 F6,9,22,13,12.666666666666666,4.888888888888889,9,3,93,90,67.44444444444444,34.07407407407407,93,18.9984032,47.867,28.8685968,26.6726688,10.232354133333335,18.9984032,53.5,1941,1887.5,326.11777777777775,363.49037037037033,53.5,1,17,16,12,6.666666666666667,17,2,4,2,2.6666666666666665,0.8888888888888888,2,57,203,146,100.88888888888889,58.518518518518526,57,0.82,3.98,3.16,3.0066666666666664,1.297777777777778,3.98,1,2,1,1.7777777777777777,0.34567901234567905,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,2,2,0.2222222222222222,0.3950617283950617,0,0,0,0,0,0,0,1,7,6,5.333333333333333,2.2222222222222223,7,0,1,1,0.2222222222222222,0.345679012,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,8,8,0.8888888888888888,1.5802469135802468,0,0,0,0,0,0,0,1,8,7,1.7777777777777777,1.382716049382716,1,9.7075,73.10666667,63.39916667,24.572037037044442,21.570946502069134,9.7075,0,1.97,1.97,1.3133333333333335,0.8755555555555554,1.97,0,2.25333333333e-05,2.25333333333e-05,2.5037037037e-06,4.451028806577778e-06,0,15,229,214,82.44444444444444,89.92592592592592,15
K2PdCl6,11.92942963,6.677608853,K2 Pd1 Cl6,17,46,29,20.666666666666668,5.62962963,17,3,94,91,70.22222222222223,31.703703703703702,94,35.453,106.42,70.967,44.14828888888889,13.838158024691358,35.453,171.6,1828.05,1656.45,392.3011111111111,319.0553086419753,171.6,1,17,16,12.666666666666666,5.777777777777778,17,3,5,2,3.4444444444444446,0.5925925925925927,3,102,203,101,128.55555555555554,35.407407407407405,102,0.82,3.16,2.3400000000000003,2.533333333333333,0.8355555555555557,3.16,0,2,2,1.5555555555555556,0.5925925925925927,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,10,10,1.1111111111111112,1.9753086419753088,0,0,0,0,0,0,0,1,10,9,6,2.2222222222222223,7,0,1,1,0.2222222222222222,0.345679012,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8888888888888888,0.1975308641975309,1,14.41,73.10666667,58.69666667,34.17870370371111,17.301316872439504,24.4975,0,2.493,2.493,1.662,1.1079999999999999,2.493,0,0,0,0,0,0,64,229,165,118.55555555555556,72.74074074074075,64
Si3Pt2,160.9332272,24.47215573,Si3 Pt2,14,78,64,39.6,30.720000000000006,14,63,78,15,72,7.2,78,28.0855,195.084,166.9985,94.8849,80.15928000000001,28.0855,1687,2041.4,354.4000000000001,1828.7599999999998,170.112,1687,10,14,4,12.4,1.92,14,3,6,3,4.2,1.44,3,111,136,25,121,12,111,1.9,2.28,0.3799999999999999,2.0519999999999996,0.1823999999999999,1.9,1,2,1,1.6,0.48,2,0,2,2,1.2,0.9600000000000002,2,0,9,9,3.6,4.32,0,0,14,14,5.6,6.719999999999999,0,4,24,20,12,9.6,4,0,1,1,0.4,0.4800000000000001,0,0,4,4,2.4,1.9200000000000004,4,0,1,1,0.4,0.4800000000000001,0,0,0,0,0,0,0,2,4,2,3.2,0.96,4,15.02,20.44,5.420000000000002,18.272000000000002,2.6016000000000004,20.44,0,0.773,0.773,0.4638,0.37104,0.773,0,0,0,0,0,0,225,227,2,226.2,0.9600000000000023,227
Ni(AgO)2,125.582433,29.38263271,Ni1 Ag2 O2,8,47,39,27.6,15.680000000000001,8,61,87,26,73,11.2,65,15.9994,107.8682,91.86880000000001,61.285720000000005,37.265984,15.9994,54.8,1728,1673.2,861.4920000000002,645.3536,54.8,10,16,6,12.8,2.56,11,2,5,3,3.6,1.28,2,66,145,79,109.2,34.56,66,1.91,3.44,1.53,2.53,0.728,1.93,1,2,1,1.6,0.48,1,0,4,4,1.6,1.9200000000000004,0,0,10,10,5.6,4.4799999999999995,0,0,0,0,0,0,0,6,11,5,8.8,2.2399999999999998,6,0,1,1,0.4,0.4800000000000001,0,0,2,2,0.8,0.9600000000000002,0,0,2,2,0.4,0.64,0,0,0,0,0,0,0,1,2,1,1.6,0.48,1,9.105,16.33,7.224999999999998,12.238,3.273599999999999,9.105,0,0,0,0,0,0,0,0.5953947,0.5953947,0.11907894000000001,0.190526304,0,12,225,213,139.8,102.24,12
KCu4S3,47.52249386,18.75209843,K1 Cu4 S3,16,29,13,22.875,6.125,29,3,88,85,65.375,16.96875,64,32.065,63.546,31.481,48.6846625,14.861337500000001,63.546,336.53,1357.77,1021.24,866.58625,491.18375000000003,1357.77,1,16,15,11.625,3.28125,11,3,4,1,3.625,0.46875,4,105,203,98,130.75,19.3125,132,0.82,2.58,1.7600000000000002,2.02,0.4200000000000001,1.9,1,2,1,1.375,0.46875,1,0,4,4,1.5,1.875,0,0,10,10,5,5,10,0,0,0,0,0,0,1,11,10,7.875,3.125,11,0,1,1,0.625,0.46875,1,0,2,2,0.75,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.375,0.46875,1,11.07,73.10666667,62.03666666669999,24.34341146,13.273411458337499,11.07,0,2.202,2.202,0.82575,1.0321875,0,0,0,0,0,0,0,70,229,159,167.375,73.03125,225
Tl2PdCl4,13.90291248,6.210336653,Tl2 Pd1 Cl4,17,81,64,39.42857142857143,25.63265306122449,17,62,94,32,84.28571428571429,11.10204081632653,94,35.453,204.3833,168.9303,93.85694285714285,66.74736326530612,35.453,171.6,1828.05,1656.45,524.0642857142858,402.8163265306122,171.6,10,17,7,14.857142857142858,2.4489795918367347,17,3,6,3,4.142857142857143,1.3061224489795917,3,102,145,43,119.57142857142857,20.081632653061224,102,1.62,3.16,1.54,2.582857142857143,0.6595918367346939,3.16,0,2,2,1.7142857142857142,0.489795918,2,0,5,5,3.142857142857143,2.122448979591837,5,0,10,10,4.285714285714286,4.8979591836734695,0,0,14,14,4,5.714285714285714,0,7,27,20,13.142857142857142,7.918367346938775,7,0,0,0,0,0,0,0,5,5,2,1.7142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1.7142857142857142,1,14.41,26.91,12.5,23.745714285714286,2.6673469387755095,24.4975,0,2.493,2.493,1.4245714285714286,1.221061224489796,2.493,0,0,0,0,0,0,64,225,161,124.14285714285714,68.73469387755101,64
Tl2WCl6,14.64771244,4.662102152,Tl2 W1 Cl6,17,81,64,37.55555555555556,27.40740740740741,17,51,94,43,85.22222222222223,11.703703703703702,94,35.453,204.3833,168.9303,89.48051111,72.03668148148148,35.453,171.6,3695,3523.4,653.1777777777778,675.9604938271605,171.6,6,17,11,14.88888888888889,2.814814814814815,17,3,6,3,4,1.3333333333333333,3,102,162,60,118.22222222222223,21.629629629629633,102,1.62,3.16,1.54,2.728888888888889,0.5748148148148149,3.16,2,2,0,2,0,2,0,5,5,3.5555555555555554,1.9259259259259263,5,0,10,10,2.6666666666666665,3.5555555555555554,0,0,14,14,4.666666666666667,6.222222222222222,0,7,27,20,12.88888888888889,7.851851851851851,7,0,0,0,0,0,0,0,5,5,1.7777777777777777,1.4320987654320987,1,0,6,6,0.6666666666666666,1.1851851851851851,0,0,0,0,0,0,0,1,6,5,2.4444444444444446,1.9259259259259263,1,16.05,26.91,10.86,24.095,1.7877777777777777,24.4975,0,2.493,2.493,1.662,1.1079999999999999,2.493,0,0,0,0,0,0,64,229,165,111.22222222222223,62.96296296296297,64
Rb2PdCl6,11.49919848,5.83471481,Rb2 Pd1 Cl6,17,46,29,24.666666666666668,10.222222222222221,17,4,94,90,70.44444444444444,31.407407407407405,94,35.453,106.42,70.967,54.452622222222224,25.332829629629625,35.453,171.6,1828.05,1656.45,386.9522222222222,320.24395061728393,171.6,1,17,16,12.666666666666666,5.777777777777778,17,3,5,2,3.6666666666666665,0.8888888888888888,3,102,220,118,132.33333333333334,40.44444444444444,102,0.82,3.16,2.3400000000000003,2.533333333333333,0.8355555555555557,3.16,0,2,2,1.5555555555555556,0.5925925925925927,2,0,5,5,3.3333333333333335,2.2222222222222223,5,0,10,10,1.1111111111111112,1.9753086419753088,0,0,0,0,0,0,0,1,10,9,6,2.2222222222222223,7,0,1,1,0.2222222222222222,0.345679012,0,0,1,1,0.6666666666666666,0.4444444444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8888888888888888,0.1975308641975309,1,14.41,90.7225,76.3125,38.093333333333334,23.390740740740743,24.4975,0,2.493,2.493,1.662,1.1079999999999999,2.493,0,0,0,0,0,0,64,229,165,118.55555555555556,72.74074074074075,64
Ba(PPd)2,60.81283682,30.99666041,Ba1 P2 Pd2,15,56,41,35.6,16.48,15,9,83,74,59.8,20.32,62,30.973762,137.327,106.353238,82.4229048,41.15931424,30.973762,317.3,1828.05,1510.75,1058.1399999999999,615.928,317.3,2,15,13,10.4,3.6800000000000006,10,3,6,3,4.4,1.1199999999999999,3,107,215,108,141.4,29.440000000000005,107,0.89,2.2,1.31,1.934,0.4176000000000001,2.19,0,2,2,1.2,0.9600000000000002,0,0,3,3,1.2,1.44,0,0,10,10,4,4.8,0,0,0,0,0,0,0,2,10,8,6.4,2.88,5,0,0,0,0,0,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.2,1.44,0,14.41,63.59,49.18000000000001,27.510095238079998,14.431961904767999,14.41,0,1.625,1.625,0.65,0.78,0,0,0,0,0,0,0,2,229,227,136.6,107.68000000000002,2
